Species,number,sex,m1 md,m2 md,m3 md,m1 bl tri,m1 bl tal,m2 bl tri,m2 bl tal,m3 bl tri,m3 bl tal
Aotus_trivirgatus_lemurinus,14176,F,3.43,3.31,3,2.87,3.12,2.87,2.75,2.5,2.43
Aotus_trivirgatus_lemurinus,14174,F,3.37,3.25,2.81,3.06,3,3,2.81,2.68,2.25
Aotus_trivirgatus_lemurinus,443605,F,3.13,3.19,2.94,2.75,2.81,2.88,2.94,2.56,2.5
Aotus_trivirgatus_lemurinus,443607,F,3.25,3.25,2.94,2.69,2.94,2.88,3.06,2.63,2.25
Aotus_trivirgatus_lemurinus,443611,F,3.25,3.25,2.75,2.75,2.81,2.69,2.81,2.38,2.19
Aotus_trivirgatus_lemurinus,443625,F,3,3,2.69,2.63,2.69,2.69,2.69,2.5,2.25
Aotus_trivirgatus_lemurinus,443735,F,3.06,3.13,2.75,2.88,2.94,2.75,2.81,2.38,2.19
Aotus_trivirgatus_lemurinus,37814,M,3.18,3.56,3.12,3.06,3,3.25,3.06,2.81,2.37
Aotus_trivirgatus_lemurinus,36479,M,3.06,3,2.93,2.93,2.75,2.93,2.75,2.62,2.31
Aotus_trivirgatus_lemurinus,37811,M,3.31,3.37,2.25,2.87,3,2.87,2.81,2.56,2.31
Aotus_trivirgatus_lemurinus,37805,M,3.18,3.18,3.31,3.12,3.12,3.25,3.06,2.87,2.68
Aotus_trivirgatus_lemurinus,33053,M,3.18,3.06,3,2.93,2.93,2.93,2.93,2.56,2.43
Aotus_trivirgatus_lemurinus,33054,M,3.18,3.25,3,3,3.06,2.93,3,2.56,
Aotus_trivirgatus_lemurinus,443604,M,3.06,3.25,3.19,2.75,3,3,3.06,2.63,2.38
Aotus_trivirgatus_lemurinus,443606,M,3.06,3.13,2.75,2.63,2.88,2.63,2.81,2.56,2.38
Aotus_trivirgatus_lemurinus,443609,M,3.25,3.44,2.81,2.63,2.75,2.94,3,2.63,2.31
Aotus_trivirgatus_lemurinus,443610,M,3,2.94,2.88,2.69,2.88,2.69,2.75,2.5,2.25
Aotus_trivirgatus_lemurinus,443613,M,3.06,3.06,2.88,2.88,3,2.94,3,2.5,2.38
Aotus_trivirgatus_lemurinus,443623,M,3.25,3.13,2.56,2.94,3,3,2.94,2.44,2.13
Aotus_trivirgatus_lemurinus,443624,M,2.94,3,2.81,2.69,2.88,2.75,2.81,2.56,2.25
Aotus_trivirgatus_trivirgatus,93077,F,3.12,2.93,2.87,2.68,2.93,2.68,2.56,2.5,2
Aotus_trivirgatus_trivirgatus,93078,F,3.12,3,2.75,2.75,2.81,2.75,2.68,2.43,2.06
Aotus_trivirgatus_trivirgatus,93079,F,3.18,3.12,2.68,2.75,3.06,2.68,2.81,2.37,2.12
Aotus_trivirgatus_trivirgatus,76915,F,3.25,3.31,3.12,2.93,3,3,3.06,2.93,2.68
Aotus_trivirgatus_trivirgatus,76916,F,3.31,3.43,3.25,2.81,2.93,3,2.93,2.93,2.75
Aotus_trivirgatus_trivirgatus,76919,F,3.06,3.18,3.12,2.68,2.68,2.87,2.81,2.87,2.68
Aotus_trivirgatus_trivirgatus,77299,F,3.06,3.25,3.12,2.68,2.75,2.87,2.81,2.75,2.62
Aotus_trivirgatus_trivirgatus,187968,F,3.43,3.31,3.18,3.06,,,3.06,2.81,2.62
Aotus_trivirgatus_trivirgatus,187963,F,3.25,3.25,3.18,3,3.25,,3,2.87,2.56
Aotus_trivirgatus_trivirgatus,78587,F,3.12,3.25,3.06,2.81,2.93,2.87,2.87,2.75,2.5
Aotus_trivirgatus_trivirgatus,91367,F,3.37,3.31,3.18,3.06,2.93,3.06,2.81,2.87,2.31
Aotus_trivirgatus_trivirgatus,406555,F,3.5,3.31,3.31,2.94,2.94,3.06,2.94,3.06,2.38
Aotus_trivirgatus_trivirgatus,406556,F,3.38,3.5,3.25,2.81,3.13,3,3.19,2.88,2.63
Aotus_trivirgatus_trivirgatus,406557,F,3.44,3.38,3.25,3.19,3.25,3.13,2.94,3.19,2.88
Aotus_trivirgatus_trivirgatus,406403,F,3.19,3.13,2.69,2.56,2.88,2.69,2.69,,2.56
Aotus_trivirgatus_trivirgatus,406405,F,3.13,3.13,3.06,2.81,,2.88,,2.88,2.63
Aotus_trivirgatus_trivirgatus,406547,F,3.31,3.25,3.13,2.88,3,3,2.88,3,3.13
Aotus_trivirgatus_trivirgatus,406548,F,3.5,3.38,3.06,2.88,3.13,3.06,3,2.88,3.13
Aotus_trivirgatus_trivirgatus,91368,M,3.18,3.25,3.31,3,3,3.06,2.87,2.93,2.43
Aotus_trivirgatus_trivirgatus,187967,M,3.06,3.5,3.18,3.06,3.18,2.93,2.93,2.62,2.56
Aotus_trivirgatus_trivirgatus,76917,M,3.25,3.25,3.12,2.87,3.06,3,3,2.93,2.62
Aotus_trivirgatus_trivirgatus,76860,M,3.31,3.31,3.06,2.87,2.93,3,2.93,2.81,2.56
Aotus_trivirgatus_trivirgatus,93076,M,3.25,3.12,3,2.81,3.06,2.81,2.81,2.56,2.31
Aotus_trivirgatus_trivirgatus,93075,M,3.18,3.18,2.93,2.81,3.12,2.81,2.87,2.68,
Aotus_trivirgatus_trivirgatus,406404,M,3.31,3.31,2.81,2.81,3.13,2.94,3,2.5,2.5
Ateles_geoffroyi_vellerosus,2386,F,5.25,5.12,,5.06,5.12,5.06,5.06,4.75,4.25
Ateles_geoffroyi_vellerosus,145159,F,5.31,4.87,4.75,4.93,4.93,,,4.37,4.12
Ateles_geoffroyi_vellerosus,172171,F,5.62,5.43,5.43,4.87,5.18,5.12,5.12,5,5.06
Ateles_geoffroyi_vellerosus,143463,F,5.5,5.5,5,4.93,,5.56,5.5,5.12,5.25
Ateles_geoffroyi_vellerosus,145206,F,5.18,5.25,5.12,4.81,4.81,5,4.93,4.56,4.68
Ateles_geoffroyi_vellerosus,145207,F,5.37,5.18,4.68,,,5,,4.43,4.37
Ateles_geoffroyi_vellerosus,128113,F,4.93,5.31,4.43,5.06,4.43,5.25,4.81,4.43,3.62
Ateles_geoffroyi_vellerosus,292247,F,5.18,5.18,,5.06,4.93,5.5,4.87,,
Ateles_geoffroyi_vellerosus,292231,F,5.37,5.25,5.06,5.37,4.81,5.31,4.68,4.87,4.37
Ateles_geoffroyi_vellerosus,292226,F,5.37,5.18,4.56,5,4.81,5.06,5,4.37,4.31
Ateles_geoffroyi_vellerosus,292206,F,5.31,5.31,5.25,4.87,5.31,5.18,5.18,4.56,5.06
Ateles_geoffroyi_vellerosus,292203,F,5.06,5.31,,4.62,4.75,,,4.5,4.06
